Team,Country,R_word_count,R_char_count,R_word_density,R_punc_count,Job Description - Cleaned,C_word_count,C_char_count,C_word_density,C_punc_count,Business Development & Support,Customer Service,Data Science & Analytics,Design & User Experience,Engineering,Finance,Finance & Legal,IT Services,Leadership,Legal & Public Affairs,Marketing & Communications,People,Product,Security & Infrastructure,Score,Score_median,Score_max,Category
Engineering,United Kingdom,962,5727,0.16794692737430167,161,booking.com long ago book trip see eiffel tower stroll new york iconic madison avenue feel sand toe copacabana beach simply matter tap smartphone fact booking.com make easy everyone experience world world might feel little farther away right busy prepare world ready travel across office worldwide continue innovate solve complex challenge travel technology plan excite development lie ahead strategic long-term investment believe future travel opening new career opportunity strong impact mission united belief human desire explore planet beauty discover people culture endure world wait together ready service want service positive impact entire workforce work late technology global deployment challenge well look talented support technician join service department amsterdam service design build maintain corporate technology booking.com workforce need day-to-day in-turn deliver great product customer include instance saas application identity sso collaboration tool productivity suite communication platform endpoint laptop vdi solution video conferencing voice infrastructure wi-fi connectivity vpn itsm plethora bespoke developed application book service organization seek sharp talented energetic support team lead assist enable workforce include provide excellent user support analyze address related problem look solution automate improve process junior endpoint engineer book employee base diverse globally disperse therefore rely different technology order achieve goal order provide colleague best class secure compliant work capability need make sure corporate endpoint device properly manage junior endpoint engineer help maintain administer system manage global fleet contain thousand user endpoint work part endpoint team role responsible help deliver compliant frictionless experience colleague device follow process guidance provide senior team member industry standard b.responsible delivers capable level problem solve troubleshoot device management system flag opportunity improvement adheres technology process best practises change management incident handle keep related documentation update accurate assist maintain system manage end user device laptop corporate mobile phone corporate tablet etc aim improve system reliability scalability reduce need human intervention act intermediary support endpoint team resolve escalation empower support possible us variety dashboard alert actively monitor endpoint environment quickly pick resolve escalate anomaly found ensures endpoint inventory data accurate up-to-date device traceable correct device ownership information exists inventory state change capture accord predefined endpoint lifecycle understands different persona exist within organisation order achieve frictionless user experience communicates effectively within endpoint team bring idea team discussion keep date endpoint technology ambitious learn absorb knowledge include building relationship service wider team participates on-call rotation hour maintenance require b.skilled confident support desktop hardware peripheral across variety device strong knowledge work experience configuration support failure analysis window apple operating system good understand window domain dns dhcp active directory microsoft officeunderstanding enterprise endpoint management software understand infrastructure-related technology like hardware virtualization networking entry level script e.g powershell applescript bash perl python understand deployment across hundred user endpoint experience package management solution understand asset management inventory tool accurately track current endpoint real estate nice experience mdm management solution mac understand maintain jamf similar enterprise mac fleet management solution experience administer macos enterprise environment capable troubleshoot macos resolve incident clearly document resolution window understand vdi solution e.g azure window virtual desktop aws workspace experience work configmgr sccm desktop deployment enterprise environment experience cloud service specifically em microsoft 's intune experience roll manage system scale experience window administration enterprise environment e.g ad dhcp dns sql server linux bonus experience manage end user linux device enterprise ability maintain company support linux distribution experience centos/ubuntu distribution b.offered living work book office work fast-paced performance driven culture opportunity utilise technical expertise leadership capability entrepreneurial spirit competitive compensation benefit package great add perk work booking.com booking.com proud equal opportunity workplace affirmative action employer qualify applicant receive consideration employment without regard race color religion gender gender identity expression sexual orientation national origin genetics disability age veteran status strive move well beyond traditional equal opportunity work create environment allows everyone thrive,613,4360,0.14056409080486126,23,9,6,7,9,11,4,6,18,10,2,2,11,9,10,114,9.0,18,Engineer
Design & User Experience,Netherlands,687,3757,0.18281000532197977,77,booking.com data drive decision technology core innovation everywhere company datasets line code a/b test thrill first night new place excitement next morning friend make journey take sight see food sample product partner people make easy everyone experience world look ux copywriter join write team marketing support business travel department close-knit write community make around 15 writer creative copywriter ux writer collaborate across product integrate marketing campaign goal deliver seamless digital experience customer one voice build trust engagement brand enhances platform experience user ux copywriter marketing embed product team work alongside designer developer researcher product manager position offer successful candidate autonomy create test scale ux copywriter business travel write team go-to b2b expert conceptualise write compelling copy b2b communication design inform engage inspire different audience focus business customer skill range short-form copy persuasion seo marketing communication write copy chatbots product feature online offline b2b marketing campaign test hypothesis examine detailed metric use data decide next step almost everything write translate 44 different language dialect also key point contact large team language specialist b.responsibilities perform competitor keyword analysis order understand demand write content meet customer need send copy language specialist sufficient context conceptual visual translate idea local audience collaborate copywriter ensure copy consistent across channel create copy-driven experiment support product goal copy strategy use qualitative data quantitative data key metric measure impact copy transform insight new iteration b.skilled candidate ux copywriter business travel posse broad range ability experienced b2b communication native level fluency english portfolio demonstrate creative write skill knowledge ux passionate advocate user dedicate craft write create elegant user experience comfortable part write process brainstorming research shipping product iterate write copy intuitive future proof scalable can-do attitude work well independently team self-driven take full ownership idea solve challenge problem rapidly change environment welcome feedback critique respond creative think iteration enjoy work people diverse background culture discipline excellent communication skill eye detail able strategically prioritize multiple project stakeholder b.experienced least year experience online copywriting emphasis marketing b2b communication experience write customer optimise metric a/b test knowledge experimentation technique experience user test shipping new product feature booking.com proud equal opportunity workplace affirmative action employer qualify applicant receive consideration employment without regard race colour religion gender gender identity expression sexual orientation national origin genetics disability age veteran status strive move well beyond traditional equal opportunity work create environment allows everyone thrive please apply via website english cv link portfolio write sample cv look forward hearing,401,2740,0.14629697190806276,13,9,3,5,10,1,3,3,7,6,1,10,6,9,0,73,5.5,10,UX
Finance,Netherlands,833,5203,0.16006917755572636,106,booking.com global treasury team look treasury risk management professional join grow team treasury risk specialist responsible perform financial analysis operating process relate identification quantification management reporting credit counterparty liquidity treasury risk typology attach book evolve business model strategic initiative third party relationship individual form integral part treasury risk team reporting treasury manager function prefer candidate accustom work fast pace environment work collaboratively across various internal functional team candidate able demonstrate proven ability perform risk analysis reporting drive operational efficiency design implementation end end process leverage adopt new technology support best class risk management reporting characteristic successful candidate include strong analytical skill experience adopt implement advanced analytics mean make data driven recommendation complex problem successful candidate posse excellent communication organisational skill able partner stakeholder various level seniority across organisation demonstrate strong business judgement skill able think creatively strategically due continuous growth organization task duty role evolve time keen develop grow within role challenge take additional project responsibility present b.responsible produce high quality assessment report address credit counterparty risk financial institution fintech partner investment related activity trip provider senior management steer committee internal stakeholder support fundamental credit counterparty risk assessment new product third party relationship provide recommendation base relative value assessment leverage available technology tool quantify risk exposure perform ad hoc cyclical credit financial analysis across applicable counterparty portfolio responsible ongoing operation maintenance treasury risk management system ensure data quality reporting accuracy seek continuous efficiency improvement manage credit limit assign financial institution monitor breach assign limit work stakeholder manage breach periodic basis develop optimal limit management technique ongoing monitoring maintenance system base compliance rule investment program maintain exist risk model calculate risk score quantify expect loss applicable counterparties maintain ensure operational compliance fx regulation dodd frank emir perform system base var calculation mtm assessment fx hedge program perform require analysis support interest rate determination intercompany lending arrangement exist quarterly process control determine lease discount rate lease denominate different currency seek enhance/automate current reporting mechanism effectively monitor risk exposure maintain risk profile counterparties leverage key technology enablers clearwater reval capital iq bloomberg sap s/4 continuously liaise key stakeholder across business understand business priority requirement identify associate risk support business decision develop strong business relationship key internal stakeholder across finance legal tax product team cross functional team b.skilled proven professional track record 3-5 year relevant experience gain within treasury banking related field master degree related field finance statistic economics related degree specific expertise credit counterparty risk management technique demonstrate analytical skill determine evaluate quantify counterparty risk exposure advanced excel skill financial model skill necessary proven experience use maintain complex financial model ability work autonomous reporting risk monitoring implement risk related e2e process control broad knowledge various risk typology fx investment liquidity risk broad knowledge micro macroeconomic factor ability translate risk-based decision experience clearwater reval capital iq bloomberg sap s/4 plus knowledge sql python and/ statistical advanced program language plus problem solve ability align high attention detail excellent analytical organisational project management skill self-starter able work minimal supervision ability prioritize task meet require deadline manage compete priority work within face pace environment excellent communication skill write verbal english ability effectively convey difficult complex information easy understandable manner adapt style approach base seniority applicable stakeholder b.offered performance-based company offer career advancement lucrative compensation include bonus also offer call book deal competitive benefit position open candidate globally case relocation assist generous relocation package ensure smooth transition work living netherlands,562,4099,0.13707317073170733,12,9,3,9,6,2,10,14,7,6,4,6,7,7,4,94,6.5,14,Specialist
Product,United Kingdom,1155,6526,0.17695725448138502,116,company long ago book trip see eiffel tower stroll new york iconic madison avenue feel sand toe copacabana beach simply matter tap smartphone fact booking.com make easy everyone experience world world might feel little farther away right busy prepare world ready travel across office worldwide continue innovate solve complex challenge travel technology plan excite development lie ahead strategic long-term investment believe future travel opening new career opportunity strong impact mission united belief human desire explore planet beauty discover people culture endure world wait together ready booking.com core value think customer first succeed together learn forever right thing team booking.com insurance easy way protect trip travel peace mind part connect trip vision booking.com ambitious growth plan insurance business look develop global footprint insurance product offering across group innovation industry sector knowledge clear customer focus team challenge substantially enhance group customer insurance experience drive profitable account work collaboration lead industry partner insurance product design give customer assurance protection need allow relax enjoy trip great value cover back first class experience need make claim role key step towards achieve goal delivery new suite claim handle policy admin tool enable insurance team offer top quality claim service across grow range insurance product technical product manager product team work within exist insurance platform new capability interpret policy data enable customer self service policy amendment renewal request integrate third party claim handle service underwriting partner develop comprehensive suite operational commercial regulatory reporting capability initial focus team develop full range policy amendment capability support recently launch room cancellation single trip travel insurance product team also play critical role development future annual insurance product policy administration need extend manage full policy lifecycle include renewal drive evolution look highly motivate technical product manager thrives fast-paced collaborative environment life delight customer actively drive product strategy product area deliver product excellence innovation work closely product team external system partner expect deeply commit solve user pain point identify opportunity improve experience put data heart design develop implement product solution address clear user need align company 's vision strategy part trip business unit booking.com base manchester role sits within insurance product group primarily individual contributor role possible coach mentor others depend skill experience development plan business need part grow tech company high performer expect extensive opportunity progression development responsibility successfully deliver innovative product fast-paced work environment need develop deep understand current future customer need respect insurance cover support claim experience gather data insight insurance market sale funnel competitor claim team identify inform prioritisation product opportunity work senior product manager key stakeholder define overall vision strategy roadmap insurance product line maintain strong focus monitoring measurement product inform commercial relationship insurance partner ensure team develop product accordance relevant insurance regulatory compliance guideline address regulatory compliance risk identify product adapt new legislation regulatory change require deadline complete necessary insurance refresher training cpd per idd guideline work collaboratively team developer designer tester deliver product delight customer accountable end-to-end delivery product ensure team well define epic story align objective key result write review take responsibility clear concise comprehensive technical documentation adhere default principle architecture quality non-functional requirement work agile coach team drive continuous efficiency improvement well way work communicate multiple key stakeholder keep date bought product development skill experience work product team architect principal shape future core insurance platform expect strong analytical skill understand technology able collaborate stakeholder across organisation 3-5 year experience work product manager insurance regulate product environment understand enjoy challenge work within financial service regulatory ecosystem robust business analysis skill technique include write user story acceptance criterion document technical requirement experience complete excellent product discovery proficient work within agile product-based organisation solid experience model system workflow component data model solid experience run workshop experience communicate concept idea stakeholder level within organisation confident personality influence decision-making level within organisation ability simplify complex problem component part evaluate systematically evidence problem solve provide creative solution desirable skill experience work policy administration claim system experience work external system provider technical partner experience work data sql understand monitoring analytical tool kibana grafana benefit 25 vacation day rise 28 go explore generous accommodation discount explore less bonus package pension 10 match company contribution huge learn development platform tailor shopping leisure discount perkbox interest-free travel loans/discounted car parking competitive maternity/paternity/adoption leave flexible work include work home,704,4868,0.1445882111316492,19,15,6,7,10,8,8,8,11,9,3,3,10,12,4,114,8.0,15,Manager
Business Development & Support,United Kingdom,549,2923,0.1877564979480164,53,account executive bristol full time position base amaze manchester office company long ago book trip see eiffel tower stroll new york iconic madison avenue feel sand toe copacabana beach simply matter tap smartphone fact booking.com make easy everyone experience world world might feel little farther away right busy prepare world ready travel across office worldwide continue innovate solve complex challenge travel technology plan excite development lie ahead strategic long-term investment believe future travel opening new career opportunity strong impact mission united belief human desire explore planet beauty discover people culture endure world wait together ready enjoy take ownership responsible internal business portfolio thrive building strong relationship phone help booking.com partner grow business provide analysis growth opportunity new product service answer yes might take next account executive manchester office pro-active communication partner region telephone internal message assist development booking.com business responsible portfolio partner first point contact answer question follow need responsible maintain stable relationship accommodation partner i.e frequent performance call contact ensure offer booking.com customer best availability competitive pricing knowledgeable booking.com product benefit usage explain partner identify opportunity partner help improve booking.com business use internal segmentation prioritise help identify new potential partner lead pas lead far follow responsible take customer service escalation relate manage portfolio solve efficient manner business partner customer support organisation event workshop webinars partner also expect attend participate partner event manage portfolio bring strong engage communication skill solution orient result driven ability influence partner phone implement suggestion strong work ethic self-directed resourceful proactive flexible capable work independently well work team ability prioritise workload efficiently manage time eye accuracy ability analytical language english write verbal return provide performance-based company competitive salary bonus great platform learn development opportunity work brightest mind planet please submit cv motivation letter english,288,1986,0.14494212380473076,11,9,6,2,5,3,1,4,5,4,1,3,5,4,1,53,4.0,9,Accounts
Engineering,Netherlands,686,3905,0.17562724014336917,116,job booking.com data drive decision technology core innovation everywhere company datasets line code a/b test thrill first night new place excitement next morning friend make journey take sight see food sample product partner people empower everyone experience world accommodation technology team responsible design delivery reliability service use million customer partner web via mobile extensive apis 28 million place stay list platform work hard develop product make easy traveller find best place stay destination across globe 42 language across dozen currency participate global interview process join one team accommodation tech business unit successful join cross-functional team department innovate maintain set product within core customer journey b.responsible build deliver app-wide feature system service regardless technology program language identify escalate flaw potential issue app-related infrastructure continuously improve service make performant utilise resource optimise way lead initiative improvement development process business opportunity team product company whole identify foster proactively help colleague grow professionally take significant role on-boarding new team member represent booking.com value company external community advocate collaborative work environment make idea idea lead manage resolve technical design discussion conflict contribute booking.com 's growth interview on-boarding recruitment effort b.skilled expect developer know android framework deliver polished product customer want use need self-starter great solve problem initiate solution discussion afraid solve challenge due large scale found people match follow requirement one fit best year experience software development java and/or kotlin language least year experience must work android sdk senior engineer tech lead mobile architect experience automate test deployment android apps experience solve technical challenge whole new level large scale strong communication stakeholder management skill proven experience mentor developer share knowledge mobile community 100+ engineer self-motivated explore new technology application environment bonus experience google play store apps distribution process approve play store app experience server-driven ui framework development experience work a/b test intrinsic curiosity technological innovation always top late trend b. offer living work amsterdam one cosmopolitan city europe contribute high scale complex world renowned product see real-time impact work million traveller worldwide work fast-paced performance driven culture opportunity utilize technical expertise leadership capability entrepreneurial spirit promote drive impactful innovative engineering solution technical behavioural interpersonal competence advancement via on-the-job opportunity experimental project hackathons conference active community participation competitive compensation benefit package great add perk work home city booking.com booking.com proud equal opportunity workplace affirmative action employer qualify applicant receive consideration employment without regard race colour religion gender gender identity expression sexual orientation national origin genetics disability age veteran status strive move well beyond traditional equal opportunity work create environment allows everyone thrive,416,2932,0.1418342993521991,25,10,4,3,10,10,1,3,9,11,3,3,6,10,6,89,6.0,11,Developer
Business Development & Support,Other,537,2864,0.187434554973822,55,company long ago book trip see eiffel tower stroll new york iconic madison avenue feel sand toe copacabana beach simply matter tap smartphone fact booking.com make easy everyone experience world world might feel little farther away right busy prepare world ready travel across office worldwide continue innovate solve complex challenge travel technology plan excite development lie ahead strategic long-term investment believe future travel opening new career opportunity strong impact mission united belief human desire explore planet beauty discover people culture endure world wait together ready enjoy take ownership responsible internal business portfolio thrive building strong relationship phone help booking.com partner grow business provide analysis growth opportunity new product service answer yes might take next account executive amharic speaker nairobi office pro-active communication partner region telephone internal message assist development booking.com business responsible portfolio partner first point contact answer question follow need responsible maintain stable relationship accommodation partner i.e frequent performance call contact ensure offer booking.com customer best availability competitive pricing knowledgeable booking.com product benefit usage explain partner identify opportunity partner help improve booking.com business use internal segmentation prioritise help identify new potential partner lead pas lead far follow responsible take customer service escalation relate manage portfolio solve efficient manner business partner customer support organisation event workshop webinars partner also expect attend participate partner event manage portfolio bring strong engage communication skill solution orient result driven ability influence partner phone implement suggestion strong work ethic self-directed resourceful proactive flexible capable work independently well work team ability prioritise workload efficiently manage time eye accuracy ability analytical language amharic english write verbal return provide performance-based company competitive salary bonus great platform learn development opportunity work brightest mind planet please submit cv motivation letter english,281,1940,0.14477073673364246,11,8,6,2,5,3,1,4,5,4,1,2,5,4,1,51,4.0,8,Accounts
Business Development & Support,Other,537,2862,0.18756549074397486,55,company long ago book trip see eiffel tower stroll new york iconic madison avenue feel sand toe copacabana beach simply matter tap smartphone fact booking.com make easy everyone experience world world might feel little farther away right busy prepare world ready travel across office worldwide continue innovate solve complex challenge travel technology plan excite development lie ahead strategic long-term investment believe future travel opening new career opportunity strong impact mission united belief human desire explore planet beauty discover people culture endure world wait together ready enjoy take ownership responsible internal business portfolio thrive building strong relationship phone help booking.com partner grow business provide analysis growth opportunity new product service answer yes might take next account executive french speaker nairobi office pro-active communication partner region telephone internal message assist development booking.com business responsible portfolio partner first point contact answer question follow need responsible maintain stable relationship accommodation partner i.e frequent performance call contact ensure offer booking.com customer best availability competitive pricing knowledgeable booking.com product benefit usage explain partner identify opportunity partner help improve booking.com business use internal segmentation prioritise help identify new potential partner lead pas lead far follow responsible take customer service escalation relate manage portfolio solve efficient manner business partner customer support organisation event workshop webinars partner also expect attend participate partner event manage portfolio bring strong engage communication skill solution orient result driven ability influence partner phone implement suggestion strong work ethic self-directed resourceful proactive flexible capable work independently well work team ability prioritise workload efficiently manage time eye accuracy ability analytical language french english write verbal return provide performance-based company competitive salary bonus great platform learn development opportunity work brightest mind planet please submit cv motivation letter english,281,1938,0.14492006188757092,11,8,6,2,5,3,1,4,5,4,1,2,5,4,1,51,4.0,8,Accounts
IT Services,Netherlands,921,5333,0.17266591676040494,99,brand new fintech business unit team amsterdam shanghai develops new product drive innovation help continue remove financial friction travel process make buying sell travel-related product service simpler traveller partner create payment experience big responsibility big challenge real opportunity true impact traveller solve real problem enable experience world well offering unique payment timing solve customer fx problem focus excel basic constantly innovate time internal payment provider different vertical booking.com big task accomplish responsibility desire offer best service level vertical would expect work global leader payment industry allow utilize payment mean grow business client management team optimizes way manage provide service solution internal client client manager work alongside solution engineer product manager development team partnership manager translate need client solution payment side help grow optimize user experience know become client trust advisor understand need also challenge appropriate collaborate rest fintech department beyond translate client feedback product roadmap help optimise product solution expand proactive reach client make sure utilise fintech bu solution full potential identify client may need upgrade downgrade exist solution work tech team product manager resolve situation perform report client performance analysis track feature adoption recommend strategy improve adoption/metrics need arrange integration test uat internal external define clear strategy onboarding support client new product roll accountable drive high usage payment solution within client drive creation execution thorough action-oriented adoption plan demonstrate advanced insight understand client business/industry challenge appropriately way client view business process relation payment create value client ensure clearly define business outcome build success plan appropriately identify objective stakeholder milestone risk metric need achieve leverage payment industry knowledge deep functional expertise expand client utilisation innovation around payment put simply focus customer success payment success booking.com success daily point contact key stakeholder pmm em pm solution partner data provider internal team track escalation incident related exist integration bring opportunity magnet identify implement up-selling additional service every opportunity willing obtain feedback customer regard potential product enhancement new service opportunity fluent persuasion always strive achieve surpass set objective demonstrate interest in-depth research customer identify key aspect business ability innovate create business incrementality voice client drive force behind product innovation business optimization in-depth product market understand ability map customer business process product capability least year experience work manage client payment and/or financial transaction environment ideally online global marketplace data-driven base decision fact rather opinion experience run governance complex deployment usage project within large organization experience work large variety internal stakeholder include marketing legal compliance finance product area top-notch executive engagement skill ability establish trust advisor relationship business decision maker deep passion make others successful experience run governance complex deployment usage project within large organization top-notch executive engagement skill ability establish trust advisor relationship business decision maker return provide client manager fintech position open worldwide candidate provide assistance family generous relocation package ensure smooth transition work living amsterdam successfully relocate 300+ technology professional amsterdam last year headquarters locate one vibrant city europe amsterdam performance base company offer 29 vacation day career advancement lucrative compensation include bonus stock potential training regular hackathons opportunity travel attend global conference travel resume discount booking.com accommodation book deal include perk benefit company sponsor family social activity help employee become integrate dutch culture diverse unique colleague every corner world booking.com proud equal opportunity workplace affirmative action employer qualify applicant receive consideration employment without regard race colour religion gender gender identity expression sexual orientation national origin genetics disability age veteran status strive move well beyond traditional equal opportunity work create environment allows everyone thrive,572,4042,0.1414790996784566,16,14,3,6,9,3,8,9,8,6,5,8,13,8,1,101,8.0,14,Manager
Data Science & Analytics,Netherlands,401,2330,0.17202917202917203,71,booking.com look data savvy professional join team data scientist work stakeholder throughout company generate understand strategy suggest action base data consider unique hybrid data hacker business analyst communicator mentor maintains strong customer focus value pragmatism perfection like hear several data science team within booking.com consist 3-8 people team scope within business data scientist focus front end website content page demand product customer satisfaction loyalty every team take full responsibility data analysis within area however also considerable collaboration amongst team often align business goal learn socialise work almost every friday b.responsible transform large complex data set pragmatic actionable insight leverage data identify quantify influence tangible business gain ability see beyond number voice data communicate decision maker product owner team leader capacity thrive fast-paced environment adapt quickly take ownership work challenge idea method work together talented highly skilled team member contribute growth booking.com interview on-boarding recruitment effort b.skilled minimum year experience relevant role experience solve real problem use data mining technique statistical rigour master phd equivalent experience quantitative field computer science physic mathematics engineering bioinformatics etc strong technical skill regard data analysis statistic program strong work knowledge python hadoop sql and/or r. excellent communication skill ability convey complex analysis result clearly conviction level stakeholder b.offered performance-based company offer career advancement lucrative compensation include bonus stock potential also offer call book deal competitive perk benefit also regular hackathons training attends/speaks global conference position open worldwide candidate case relocation assist generous relocation package ensure smooth transition work living amsterdam successfully relocate 200+ professional amsterdam last year,252,1746,0.14424728105323412,14,6,3,11,5,6,1,2,2,5,1,5,6,6,4,63,5.0,11,Data Scientist
